season,years,dayzero,regionW,regionX,regionY,regionZ
A,1995-1996,10/30/1995,East,Midwest,Southeast,West
B,1996-1997,10/28/1996,East,Southeast,Midwest,West
C,1997-1998,10/27/1997,East,West,Midwest,South
D,1998-1999,10/26/1998,East,Midwest,South,West
E,1999-2000,11/01/1999,Midwest,West,East,South
F,2000-2001,10/30/2000,East,West,Midwest,South
G,2001-2002,10/29/2001,East,Midwest,South,West
H,2002-2003,11/04/2002,East,South,Midwest,West
I,2003-2004,11/03/2003,Atlanta,Phoenix,EastRutherford,StLouis
J,2004-2005,11/01/2004,Albuquerque,Chicago,Austin,Syracuse
K,2005-2006,10/31/2005,Atlanta,Oakland,Minneapolis,WashingtonDC
L,2006-2007,10/30/2006,East,South,Midwest,West
M,2007-2008,11/05/2007,East,Midwest,South,West
N,2008-2009,11/03/2008,East,South,Midwest,West
O,2009-2010,11/02/2009,East,South,Midwest,West
P,2010-2011,11/01/2010,East,West,Southeast,Southwest
Q,2011-2012,10/31/2011,East,Midwest,South,West
R,2012-2013,11/05/2012,East,South,Midwest,West
S,2013-2014,11/04/2013,W,X,Y,Z