season,slot,strongseed,weakseed
A,R1W1,W01,W16
A,R1W2,W02,W15
A,R1W3,W03,W14
A,R1W4,W04,W13
A,R1W5,W05,W12
A,R1W6,W06,W11
A,R1W7,W07,W10
A,R1W8,W08,W09
A,R1X1,X01,X16
A,R1X2,X02,X15
A,R1X3,X03,X14
A,R1X4,X04,X13
A,R1X5,X05,X12
A,R1X6,X06,X11
A,R1X7,X07,X10
A,R1X8,X08,X09
A,R1Y1,Y01,Y16
A,R1Y2,Y02,Y15
A,R1Y3,Y03,Y14
A,R1Y4,Y04,Y13
A,R1Y5,Y05,Y12
A,R1Y6,Y06,Y11
A,R1Y7,Y07,Y10
A,R1Y8,Y08,Y09
A,R1Z1,Z01,Z16
A,R1Z2,Z02,Z15
A,R1Z3,Z03,Z14
A,R1Z4,Z04,Z13
A,R1Z5,Z05,Z12
A,R1Z6,Z06,Z11
A,R1Z7,Z07,Z10
A,R1Z8,Z08,Z09
A,R2W1,R1W1,R1W8
A,R2W2,R1W2,R1W7
A,R2W3,R1W3,R1W6
A,R2W4,R1W4,R1W5
A,R2X1,R1X1,R1X8
A,R2X2,R1X2,R1X7
A,R2X3,R1X3,R1X6
A,R2X4,R1X4,R1X5
A,R2Y1,R1Y1,R1Y8
A,R2Y2,R1Y2,R1Y7
A,R2Y3,R1Y3,R1Y6
A,R2Y4,R1Y4,R1Y5
A,R2Z1,R1Z1,R1Z8
A,R2Z2,R1Z2,R1Z7
A,R2Z3,R1Z3,R1Z6
A,R2Z4,R1Z4,R1Z5
A,R3W1,R2W1,R2W4
A,R3W2,R2W2,R2W3
A,R3X1,R2X1,R2X4
A,R3X2,R2X2,R2X3
A,R3Y1,R2Y1,R2Y4
A,R3Y2,R2Y2,R2Y3
A,R3Z1,R2Z1,R2Z4
A,R3Z2,R2Z2,R2Z3
A,R4W1,R3W1,R3W2
A,R4X1,R3X1,R3X2
A,R4Y1,R3Y1,R3Y2
A,R4Z1,R3Z1,R3Z2
A,R5WX,R4W1,R4X1
A,R5YZ,R4Y1,R4Z1
A,R6CH,R5WX,R5YZ
B,R1W1,W01,W16
B,R1W2,W02,W15
B,R1W3,W03,W14
B,R1W4,W04,W13
B,R1W5,W05,W12
B,R1W6,W06,W11
B,R1W7,W07,W10
B,R1W8,W08,W09
B,R1X1,X01,X16
B,R1X2,X02,X15
B,R1X3,X03,X14
B,R1X4,X04,X13
B,R1X5,X05,X12
B,R1X6,X06,X11
B,R1X7,X07,X10
B,R1X8,X08,X09
B,R1Y1,Y01,Y16
B,R1Y2,Y02,Y15
B,R1Y3,Y03,Y14
B,R1Y4,Y04,Y13
B,R1Y5,Y05,Y12
B,R1Y6,Y06,Y11
B,R1Y7,Y07,Y10
B,R1Y8,Y08,Y09
B,R1Z1,Z01,Z16
B,R1Z2,Z02,Z15
B,R1Z3,Z03,Z14
B,R1Z4,Z04,Z13
B,R1Z5,Z05,Z12
B,R1Z6,Z06,Z11
B,R1Z7,Z07,Z10
B,R1Z8,Z08,Z09
B,R2W1,R1W1,R1W8
B,R2W2,R1W2,R1W7
B,R2W3,R1W3,R1W6
B,R2W4,R1W4,R1W5
B,R2X1,R1X1,R1X8
B,R2X2,R1X2,R1X7
B,R2X3,R1X3,R1X6
B,R2X4,R1X4,R1X5
B,R2Y1,R1Y1,R1Y8
B,R2Y2,R1Y2,R1Y7
B,R2Y3,R1Y3,R1Y6
B,R2Y4,R1Y4,R1Y5
B,R2Z1,R1Z1,R1Z8
B,R2Z2,R1Z2,R1Z7
B,R2Z3,R1Z3,R1Z6
B,R2Z4,R1Z4,R1Z5
B,R3W1,R2W1,R2W4
B,R3W2,R2W2,R2W3
B,R3X1,R2X1,R2X4
B,R3X2,R2X2,R2X3
B,R3Y1,R2Y1,R2Y4
B,R3Y2,R2Y2,R2Y3
B,R3Z1,R2Z1,R2Z4
B,R3Z2,R2Z2,R2Z3
B,R4W1,R3W1,R3W2
B,R4X1,R3X1,R3X2
B,R4Y1,R3Y1,R3Y2
B,R4Z1,R3Z1,R3Z2
B,R5WX,R4W1,R4X1
B,R5YZ,R4Y1,R4Z1
B,R6CH,R5WX,R5YZ
C,R1W1,W01,W16
C,R1W2,W02,W15
C,R1W3,W03,W14
C,R1W4,W04,W13
C,R1W5,W05,W12
C,R1W6,W06,W11
C,R1W7,W07,W10
C,R1W8,W08,W09
C,R1X1,X01,X16
C,R1X2,X02,X15
C,R1X3,X03,X14
C,R1X4,X04,X13
C,R1X5,X05,X12
C,R1X6,X06,X11
C,R1X7,X07,X10
C,R1X8,X08,X09
C,R1Y1,Y01,Y16
C,R1Y2,Y02,Y15
C,R1Y3,Y03,Y14
C,R1Y4,Y04,Y13
C,R1Y5,Y05,Y12
C,R1Y6,Y06,Y11
C,R1Y7,Y07,Y10
C,R1Y8,Y08,Y09
C,R1Z1,Z01,Z16
C,R1Z2,Z02,Z15
C,R1Z3,Z03,Z14
C,R1Z4,Z04,Z13
C,R1Z5,Z05,Z12
C,R1Z6,Z06,Z11
C,R1Z7,Z07,Z10
C,R1Z8,Z08,Z09
C,R2W1,R1W1,R1W8
C,R2W2,R1W2,R1W7
C,R2W3,R1W3,R1W6
C,R2W4,R1W4,R1W5
C,R2X1,R1X1,R1X8
C,R2X2,R1X2,R1X7
C,R2X3,R1X3,R1X6
C,R2X4,R1X4,R1X5
C,R2Y1,R1Y1,R1Y8
C,R2Y2,R1Y2,R1Y7
C,R2Y3,R1Y3,R1Y6
C,R2Y4,R1Y4,R1Y5
C,R2Z1,R1Z1,R1Z8
C,R2Z2,R1Z2,R1Z7
C,R2Z3,R1Z3,R1Z6
C,R2Z4,R1Z4,R1Z5
C,R3W1,R2W1,R2W4
C,R3W2,R2W2,R2W3
C,R3X1,R2X1,R2X4
C,R3X2,R2X2,R2X3
C,R3Y1,R2Y1,R2Y4
C,R3Y2,R2Y2,R2Y3
C,R3Z1,R2Z1,R2Z4
C,R3Z2,R2Z2,R2Z3
C,R4W1,R3W1,R3W2
C,R4X1,R3X1,R3X2
C,R4Y1,R3Y1,R3Y2
C,R4Z1,R3Z1,R3Z2
C,R5WX,R4W1,R4X1
C,R5YZ,R4Y1,R4Z1
C,R6CH,R5WX,R5YZ
D,R1W1,W01,W16
D,R1W2,W02,W15
D,R1W3,W03,W14
D,R1W4,W04,W13
D,R1W5,W05,W12
D,R1W6,W06,W11
D,R1W7,W07,W10
D,R1W8,W08,W09
D,R1X1,X01,X16
D,R1X2,X02,X15
D,R1X3,X03,X14
D,R1X4,X04,X13
D,R1X5,X05,X12
D,R1X6,X06,X11
D,R1X7,X07,X10
D,R1X8,X08,X09
D,R1Y1,Y01,Y16
D,R1Y2,Y02,Y15
D,R1Y3,Y03,Y14
D,R1Y4,Y04,Y13
D,R1Y5,Y05,Y12
D,R1Y6,Y06,Y11
D,R1Y7,Y07,Y10
D,R1Y8,Y08,Y09
D,R1Z1,Z01,Z16
D,R1Z2,Z02,Z15
D,R1Z3,Z03,Z14
D,R1Z4,Z04,Z13
D,R1Z5,Z05,Z12
D,R1Z6,Z06,Z11
D,R1Z7,Z07,Z10
D,R1Z8,Z08,Z09
D,R2W1,R1W1,R1W8
D,R2W2,R1W2,R1W7
D,R2W3,R1W3,R1W6
D,R2W4,R1W4,R1W5
D,R2X1,R1X1,R1X8
D,R2X2,R1X2,R1X7
D,R2X3,R1X3,R1X6
D,R2X4,R1X4,R1X5
D,R2Y1,R1Y1,R1Y8
D,R2Y2,R1Y2,R1Y7
D,R2Y3,R1Y3,R1Y6
D,R2Y4,R1Y4,R1Y5
D,R2Z1,R1Z1,R1Z8
D,R2Z2,R1Z2,R1Z7
D,R2Z3,R1Z3,R1Z6
D,R2Z4,R1Z4,R1Z5
D,R3W1,R2W1,R2W4
D,R3W2,R2W2,R2W3
D,R3X1,R2X1,R2X4
D,R3X2,R2X2,R2X3
D,R3Y1,R2Y1,R2Y4
D,R3Y2,R2Y2,R2Y3
D,R3Z1,R2Z1,R2Z4
D,R3Z2,R2Z2,R2Z3
D,R4W1,R3W1,R3W2
D,R4X1,R3X1,R3X2
D,R4Y1,R3Y1,R3Y2
D,R4Z1,R3Z1,R3Z2
D,R5WX,R4W1,R4X1
D,R5YZ,R4Y1,R4Z1
D,R6CH,R5WX,R5YZ
E,R1W1,W01,W16
E,R1W2,W02,W15
E,R1W3,W03,W14
E,R1W4,W04,W13
E,R1W5,W05,W12
E,R1W6,W06,W11
E,R1W7,W07,W10
E,R1W8,W08,W09
E,R1X1,X01,X16
E,R1X2,X02,X15
E,R1X3,X03,X14
E,R1X4,X04,X13
E,R1X5,X05,X12
E,R1X6,X06,X11
E,R1X7,X07,X10
E,R1X8,X08,X09
E,R1Y1,Y01,Y16
E,R1Y2,Y02,Y15
E,R1Y3,Y03,Y14
E,R1Y4,Y04,Y13
E,R1Y5,Y05,Y12
E,R1Y6,Y06,Y11
E,R1Y7,Y07,Y10
E,R1Y8,Y08,Y09
E,R1Z1,Z01,Z16
E,R1Z2,Z02,Z15
E,R1Z3,Z03,Z14
E,R1Z4,Z04,Z13
E,R1Z5,Z05,Z12
E,R1Z6,Z06,Z11
E,R1Z7,Z07,Z10
E,R1Z8,Z08,Z09
E,R2W1,R1W1,R1W8
E,R2W2,R1W2,R1W7
E,R2W3,R1W3,R1W6
E,R2W4,R1W4,R1W5
E,R2X1,R1X1,R1X8
E,R2X2,R1X2,R1X7
E,R2X3,R1X3,R1X6
E,R2X4,R1X4,R1X5
E,R2Y1,R1Y1,R1Y8
E,R2Y2,R1Y2,R1Y7
E,R2Y3,R1Y3,R1Y6
E,R2Y4,R1Y4,R1Y5
E,R2Z1,R1Z1,R1Z8
E,R2Z2,R1Z2,R1Z7
E,R2Z3,R1Z3,R1Z6
E,R2Z4,R1Z4,R1Z5
E,R3W1,R2W1,R2W4
E,R3W2,R2W2,R2W3
E,R3X1,R2X1,R2X4
E,R3X2,R2X2,R2X3
E,R3Y1,R2Y1,R2Y4
E,R3Y2,R2Y2,R2Y3
E,R3Z1,R2Z1,R2Z4
E,R3Z2,R2Z2,R2Z3
E,R4W1,R3W1,R3W2
E,R4X1,R3X1,R3X2
E,R4Y1,R3Y1,R3Y2
E,R4Z1,R3Z1,R3Z2
E,R5WX,R4W1,R4X1
E,R5YZ,R4Y1,R4Z1
E,R6CH,R5WX,R5YZ
F,Y16,Y16a,Y16b
F,R1W1,W01,W16
F,R1W2,W02,W15
F,R1W3,W03,W14
F,R1W4,W04,W13
F,R1W5,W05,W12
F,R1W6,W06,W11
F,R1W7,W07,W10
F,R1W8,W08,W09
F,R1X1,X01,X16
F,R1X2,X02,X15
F,R1X3,X03,X14
F,R1X4,X04,X13
F,R1X5,X05,X12
F,R1X6,X06,X11
F,R1X7,X07,X10
F,R1X8,X08,X09
F,R1Y1,Y01,Y16
F,R1Y2,Y02,Y15
F,R1Y3,Y03,Y14
F,R1Y4,Y04,Y13
F,R1Y5,Y05,Y12
F,R1Y6,Y06,Y11
F,R1Y7,Y07,Y10
F,R1Y8,Y08,Y09
F,R1Z1,Z01,Z16
F,R1Z2,Z02,Z15
F,R1Z3,Z03,Z14
F,R1Z4,Z04,Z13
F,R1Z5,Z05,Z12
F,R1Z6,Z06,Z11
F,R1Z7,Z07,Z10
F,R1Z8,Z08,Z09
F,R2W1,R1W1,R1W8
F,R2W2,R1W2,R1W7
F,R2W3,R1W3,R1W6
F,R2W4,R1W4,R1W5
F,R2X1,R1X1,R1X8
F,R2X2,R1X2,R1X7
F,R2X3,R1X3,R1X6
F,R2X4,R1X4,R1X5
F,R2Y1,R1Y1,R1Y8
F,R2Y2,R1Y2,R1Y7
F,R2Y3,R1Y3,R1Y6
F,R2Y4,R1Y4,R1Y5
F,R2Z1,R1Z1,R1Z8
F,R2Z2,R1Z2,R1Z7
F,R2Z3,R1Z3,R1Z6
F,R2Z4,R1Z4,R1Z5
F,R3W1,R2W1,R2W4
F,R3W2,R2W2,R2W3
F,R3X1,R2X1,R2X4
F,R3X2,R2X2,R2X3
F,R3Y1,R2Y1,R2Y4
F,R3Y2,R2Y2,R2Y3
F,R3Z1,R2Z1,R2Z4
F,R3Z2,R2Z2,R2Z3
F,R4W1,R3W1,R3W2
F,R4X1,R3X1,R3X2
F,R4Y1,R3Y1,R3Y2
F,R4Z1,R3Z1,R3Z2
F,R5WX,R4W1,R4X1
F,R5YZ,R4Y1,R4Z1
F,R6CH,R5WX,R5YZ
G,W16,W16a,W16b
G,R1W1,W01,W16
G,R1W2,W02,W15
G,R1W3,W03,W14
G,R1W4,W04,W13
G,R1W5,W05,W12
G,R1W6,W06,W11
G,R1W7,W07,W10
G,R1W8,W08,W09
G,R1X1,X01,X16
G,R1X2,X02,X15
G,R1X3,X03,X14
G,R1X4,X04,X13
G,R1X5,X05,X12
G,R1X6,X06,X11
G,R1X7,X07,X10
G,R1X8,X08,X09
G,R1Y1,Y01,Y16
G,R1Y2,Y02,Y15
G,R1Y3,Y03,Y14
G,R1Y4,Y04,Y13
G,R1Y5,Y05,Y12
G,R1Y6,Y06,Y11
G,R1Y7,Y07,Y10
G,R1Y8,Y08,Y09
G,R1Z1,Z01,Z16
G,R1Z2,Z02,Z15
G,R1Z3,Z03,Z14
G,R1Z4,Z04,Z13
G,R1Z5,Z05,Z12
G,R1Z6,Z06,Z11
G,R1Z7,Z07,Z10
G,R1Z8,Z08,Z09
G,R2W1,R1W1,R1W8
G,R2W2,R1W2,R1W7
G,R2W3,R1W3,R1W6
G,R2W4,R1W4,R1W5
G,R2X1,R1X1,R1X8
G,R2X2,R1X2,R1X7
G,R2X3,R1X3,R1X6
G,R2X4,R1X4,R1X5
G,R2Y1,R1Y1,R1Y8
G,R2Y2,R1Y2,R1Y7
G,R2Y3,R1Y3,R1Y6
G,R2Y4,R1Y4,R1Y5
G,R2Z1,R1Z1,R1Z8
G,R2Z2,R1Z2,R1Z7
G,R2Z3,R1Z3,R1Z6
G,R2Z4,R1Z4,R1Z5
G,R3W1,R2W1,R2W4
G,R3W2,R2W2,R2W3
G,R3X1,R2X1,R2X4
G,R3X2,R2X2,R2X3
G,R3Y1,R2Y1,R2Y4
G,R3Y2,R2Y2,R2Y3
G,R3Z1,R2Z1,R2Z4
G,R3Z2,R2Z2,R2Z3
G,R4W1,R3W1,R3W2
G,R4X1,R3X1,R3X2
G,R4Y1,R3Y1,R3Y2
G,R4Z1,R3Z1,R3Z2
G,R5WX,R4W1,R4X1
G,R5YZ,R4Y1,R4Z1
G,R6CH,R5WX,R5YZ
H,X16,X16a,X16b
H,R1W1,W01,W16
H,R1W2,W02,W15
H,R1W3,W03,W14
H,R1W4,W04,W13
H,R1W5,W05,W12
H,R1W6,W06,W11
H,R1W7,W07,W10
H,R1W8,W08,W09
H,R1X1,X01,X16
H,R1X2,X02,X15
H,R1X3,X03,X14
H,R1X4,X04,X13
H,R1X5,X05,X12
H,R1X6,X06,X11
H,R1X7,X07,X10
H,R1X8,X08,X09
H,R1Y1,Y01,Y16
H,R1Y2,Y02,Y15
H,R1Y3,Y03,Y14
H,R1Y4,Y04,Y13
H,R1Y5,Y05,Y12
H,R1Y6,Y06,Y11
H,R1Y7,Y07,Y10
H,R1Y8,Y08,Y09
H,R1Z1,Z01,Z16
H,R1Z2,Z02,Z15
H,R1Z3,Z03,Z14
H,R1Z4,Z04,Z13
H,R1Z5,Z05,Z12
H,R1Z6,Z06,Z11
H,R1Z7,Z07,Z10
H,R1Z8,Z08,Z09
H,R2W1,R1W1,R1W8
H,R2W2,R1W2,R1W7
H,R2W3,R1W3,R1W6
H,R2W4,R1W4,R1W5
H,R2X1,R1X1,R1X8
H,R2X2,R1X2,R1X7
H,R2X3,R1X3,R1X6
H,R2X4,R1X4,R1X5
H,R2Y1,R1Y1,R1Y8
H,R2Y2,R1Y2,R1Y7
H,R2Y3,R1Y3,R1Y6
H,R2Y4,R1Y4,R1Y5
H,R2Z1,R1Z1,R1Z8
H,R2Z2,R1Z2,R1Z7
H,R2Z3,R1Z3,R1Z6
H,R2Z4,R1Z4,R1Z5
H,R3W1,R2W1,R2W4
H,R3W2,R2W2,R2W3
H,R3X1,R2X1,R2X4
H,R3X2,R2X2,R2X3
H,R3Y1,R2Y1,R2Y4
H,R3Y2,R2Y2,R2Y3
H,R3Z1,R2Z1,R2Z4
H,R3Z2,R2Z2,R2Z3
H,R4W1,R3W1,R3W2
H,R4X1,R3X1,R3X2
H,R4Y1,R3Y1,R3Y2
H,R4Z1,R3Z1,R3Z2
H,R5WX,R4W1,R4X1
H,R5YZ,R4Y1,R4Z1
H,R6CH,R5WX,R5YZ
I,Z16,Z16a,Z16b
I,R1W1,W01,W16
I,R1W2,W02,W15
I,R1W3,W03,W14
I,R1W4,W04,W13
I,R1W5,W05,W12
I,R1W6,W06,W11
I,R1W7,W07,W10
I,R1W8,W08,W09
I,R1X1,X01,X16
I,R1X2,X02,X15
I,R1X3,X03,X14
I,R1X4,X04,X13
I,R1X5,X05,X12
I,R1X6,X06,X11
I,R1X7,X07,X10
I,R1X8,X08,X09
I,R1Y1,Y01,Y16
I,R1Y2,Y02,Y15
I,R1Y3,Y03,Y14
I,R1Y4,Y04,Y13
I,R1Y5,Y05,Y12
I,R1Y6,Y06,Y11
I,R1Y7,Y07,Y10
I,R1Y8,Y08,Y09
I,R1Z1,Z01,Z16
I,R1Z2,Z02,Z15
I,R1Z3,Z03,Z14
I,R1Z4,Z04,Z13
I,R1Z5,Z05,Z12
I,R1Z6,Z06,Z11
I,R1Z7,Z07,Z10
I,R1Z8,Z08,Z09
I,R2W1,R1W1,R1W8
I,R2W2,R1W2,R1W7
I,R2W3,R1W3,R1W6
I,R2W4,R1W4,R1W5
I,R2X1,R1X1,R1X8
I,R2X2,R1X2,R1X7
I,R2X3,R1X3,R1X6
I,R2X4,R1X4,R1X5
I,R2Y1,R1Y1,R1Y8
I,R2Y2,R1Y2,R1Y7
I,R2Y3,R1Y3,R1Y6
I,R2Y4,R1Y4,R1Y5
I,R2Z1,R1Z1,R1Z8
I,R2Z2,R1Z2,R1Z7
I,R2Z3,R1Z3,R1Z6
I,R2Z4,R1Z4,R1Z5
I,R3W1,R2W1,R2W4
I,R3W2,R2W2,R2W3
I,R3X1,R2X1,R2X4
I,R3X2,R2X2,R2X3
I,R3Y1,R2Y1,R2Y4
I,R3Y2,R2Y2,R2Y3
I,R3Z1,R2Z1,R2Z4
I,R3Z2,R2Z2,R2Z3
I,R4W1,R3W1,R3W2
I,R4X1,R3X1,R3X2
I,R4Y1,R3Y1,R3Y2
I,R4Z1,R3Z1,R3Z2
I,R5WX,R4W1,R4X1
I,R5YZ,R4Y1,R4Z1
I,R6CH,R5WX,R5YZ
J,Z16,Z16a,Z16b
J,R1W1,W01,W16
J,R1W2,W02,W15
J,R1W3,W03,W14
J,R1W4,W04,W13
J,R1W5,W05,W12
